link	Song Title	Artist	Combo	Lead	Notes
amber	Amber	311	U-B	JC	-
everybody-talks	Everybody Talks	Neon Trees	U-B	JC	-
creep	Creep	Radiohead	P-G	Luke	-
got-my-mind-set-on-you	Got My Mind Set On You	George Harrison	P-G	Luke	-
i-love-you	I Love You	Mana'o Company	U-B	JC	-
lovely-day	Lovely Day	Bill Withers	P-G	Luke	-
kryptonite	Kryptonite	3 Doors Down	P-G	JC	-
suspicious-minds	Suspicious Minds	Elivs Presley	P-G	Luke	-
thinking-out-loud	Thinking Out Loud	Ed Sheeran	P-G	JC	-
this-boy	This Boy	The Beatles	P-G	Luke	-